isco4,exp_mean,exp_sd,mean_minus_sd,gradient,gradient_label
2352,0.28,0.1,0.18000000000000002,1,Gradient 1: Low
2635,0.28,0.1,0.18000000000000002,1,Gradient 1: Low
2652,0.28,0.09,0.19000000000000003,1,Gradient 1: Low
3112,0.28,0.07,0.21000000000000002,1,Gradient 1: Low
3117,0.28,0.06,0.22000000000000003,1,Gradient 1: Low
3123,0.28,0.06,0.22000000000000003,1,Gradient 1: Low
3131,0.28,0.11,0.17000000000000004,1,Gradient 1: Low
2212,0.27,0.12,0.15000000000000002,1,Gradient 1: Low
3113,0.27,0.05,0.22000000000000003,1,Gradient 1: Low
3132,0.27,0.09,0.18000000000000002,1,Gradient 1: Low
3153,0.27,0.05,0.22000000000000003,1,Gradient 1: Low
8132,0.27,0.06,0.21000000000000002,1,Gradient 1: Low
2341,0.26,0.09,0.17,1,Gradient 1: Low
3111,0.26,0.09,0.17,1,Gradient 1: Low
3115,0.26,0.08,0.18,1,Gradient 1: Low
3119,0.26,0.05,0.21000000000000002,1,Gradient 1: Low
3142,0.26,0.09,0.17,1,Gradient 1: Low
5132,0.26,0.12,0.14,1,Gradient 1: Low
8121,0.26,0.1,0.16,1,Gradient 1: Low
2221,0.25,0.13,0.12,1,Gradient 1: Low
3423,0.25,0.07,0.18,1,Gradient 1: Low
3434,0.25,0.06,0.19,1,Gradient 1: Low
5241,0.25,0.06,0.19,1,Gradient 1: Low
7322,0.25,0.11,0.14,1,Gradient 1: Low
7421,0.25,0.13,0.12,1,Gradient 1: Low
2266,0.24,0.04,0.19999999999999998,1,Gradient 1: Low
2267,0.24,0.07,0.16999999999999998,1,Gradient 1: Low
3254,0.24,0.07,0.16999999999999998,1,Gradient 1: Low
3257,0.24,0.04,0.19999999999999998,1,Gradient 1: Low
5246,0.24,0.13,0.10999999999999999,1,Gradient 1: Low
5312,0.24,0.14,0.09999999999999998,1,Gradient 1: Low
7422,0.24,0.14,0.09999999999999998,1,Gradient 1: Low
8131,0.24,0.07,0.16999999999999998,1,Gradient 1: Low
1113,0.23,0.1,0.13,1,Gradient 1: Low
2240,0.23,0.13,0.1,1,Gradient 1: Low
3151,0.23,0.05,0.18,1,Gradient 1: Low
3355,0.23,0.07,0.16,1,Gradient 1: Low
3421,0.23,0.11,0.12000000000000001,1,Gradient 1: Low
8114,0.23,0.11,0.12000000000000001,1,Gradient 1: Low
1312,0.22,0.08,0.14,1,Gradient 1: Low
3211,0.22,0.03,0.19,1,Gradient 1: Low
3253,0.22,0.08,0.14,1,Gradient 1: Low
3258,0.22,0.17,0.04999999999999999,1,Gradient 1: Low
5111,0.22,0.1,0.12,1,Gradient 1: Low
5151,0.22,0.1,0.12,1,Gradient 1: Low
5162,0.22,0.05,0.16999999999999998,1,Gradient 1: Low
5212,0.22,0.11,0.11,1,Gradient 1: Low
6123,0.22,0.11,0.11,1,Gradient 1: Low
6221,0.22,0.15,0.07,1,Gradient 1: Low
7323,0.22,0.09,0.13,1,Gradient 1: Low
7513,0.22,0.17,0.04999999999999999,1,Gradient 1: Low
7521,0.22,0.15,0.07,1,Gradient 1: Low
7523,0.22,0.16,0.06,1,Gradient 1: Low
8183,0.22,0.01,0.21,1,Gradient 1: Low
2342,0.21,0.05,0.15999999999999998,1,Gradient 1: Low
2651,0.21,0.04,0.16999999999999998,1,Gradient 1: Low
3143,0.21,0.07,0.13999999999999999,1,Gradient 1: Low
5169,0.21,0.07,0.13999999999999999,1,Gradient 1: Low
7127,0.21,0.11,0.09999999999999999,1,Gradient 1: Low
7213,0.21,0.09,0.12,1,Gradient 1: Low
7311,0.21,0.08,0.13,1,Gradient 1: Low
8112,0.21,0.1,0.10999999999999999,1,Gradient 1: Low
8154,0.21,0.15,0.06,1,Gradient 1: Low
9331,0.21,0.08,0.13,1,Gradient 1: Low
