country_name,exposure_g4,exposure_g3_g4,isco4_share,isco6_share,year,total_emp
Kuwait,1.8076290370000696,5.643674161543169,4.255078871175079,2.4395801546587856,2016,2497.1099999999997
Kyrgyzstan,1.5203542631525548,5.046123663320809,2.112073671981736,16.051968255425834,2023,2591.813
Lao People's Democratic Republic,0.5440124216867543,1.54501645152446,0.18010321167912338,64.41787478780168,2022,3509.0989999999993
Latvia,2.619596195463245,9.327365890685716,5.305610283722172,3.123385361366772,2024,880.615
Lebanon,2.1795411624011405,6.784749717001122,4.324731908771687,2.40425538627537,2019,1584.8149999999998
Lesotho,0.7099469941765333,1.9550221628219049,0.9412201130559591,33.62686554158435,2024,803.319
Liberia,1.31472243121424,3.8207576476075547,1.045491730174254,33.86553613935379,2017,650.316
Lithuania,2.41199103670081,10.011393557968816,4.451041008386138,2.5910604792566914,2024,1463.725
Luxembourg,3.396369933815832,16.048011873553122,6.156019046595911,1.3295964763165626,2024,316.487
Madagascar,0.49152954239660335,1.310974074557808,0.8829138916661037,52.67378089129488,2022,11855.402999999998
Malaysia,3.5083408604631092,8.77233964544745,8.935506691884555,7.236186708632314,2014,13852.6
Maldives,3.107453175148018,9.234423206874403,7.681957569309719,21.590316457016502,2019,191.748
Mali,0.7896003905688281,1.6205387563839453,0.8150168796444229,64.63550264797608,2022,6545.754
Malta,3.9074579060081964,11.732605292840919,9.601556975412555,0.9346233033160823,2024,319.594
Marshall Islands,2.740728388638391,7.8891891740596565,6.192326372025255,11.712805569046463,2021,12.354000000000001
Mauritius,3.559872332415596,9.481960994275159,8.849367631838032,4.199559307730866,2023,554.5820000000001
Mexico,2.6148477275224047,7.042163192659008,6.0088635036980556,6.806672778429908,2024,58972.615999999995
Micronesia (Federated States of),2.0236172773624337,5.931545881843816,4.531151667715545,37.481368619787354,2014,30.191000000000003
Mongolia,1.6658193550858846,6.275865401415184,2.783787671567966,22.7745726363106,2024,1369.5009999999997
Montenegro,4.0428911699702805,11.913229836596985,9.580037874568342,3.567539985698218,2023,278.287
Montserrat,3.7822480970007994,10.225835736034647,9.156626506024097,2.570281124497992,2020,2.49
